code	product_ean	store_name	location
IN	3550122019246	Teghra	Asia/Kolkata
JP	3293910072053	Toba	Asia/Tokyo
IN	8879380535301	Kundla	Asia/Kolkata
CL	5488010366760	Chiguayante	America/Santiago
PG	3161153029229	Mount Hagen	Pacific/Port_Moresby
US	7914333233468	Hutchinson	America/Chicago
BR	2076073839937	Guaraciaba do Norte	America/Fortaleza
US	6507024734507	Sterling	America/New_York
SD	8809389263813	Ar Ruseris	Africa/Khartoum
SE	1314664894929	Hudiksvall	Europe/Stockholm
IN	9884516737633	Patti	Asia/Kolkata
US	8340913813475	Norwalk	America/New_York
TH	6242616028335	Phanat Nikhom	Asia/Bangkok
US	7212764637689	Huntley	America/Chicago
US	5876400946393	Camarillo	America/Los_Angeles
CA	9861359172135	Beaconsfield	America/Toronto
US	9381327036424	Fayetteville	America/New_York
PH	5662597565642	Cebu City	Asia/Manila
DE	4064460603689	Losheim	Europe/Berlin
AM	8756783059804	Hrazdan	Asia/Yerevan
ES	0149968883130	Palafrugell	Europe/Madrid
RU	4158778534381	Oktyabr’skiy	Asia/Yekaterinburg
BR	8275567906429	Viradouro	America/Sao_Paulo
PS	3328535436819	East Jerusalem	Asia/Hebron
MX	0425804102314	Progreso	America/Merida
CN	2018802038297	Wacheng	Asia/Shanghai
IL	4568667755290	Ganei Tikva	Asia/Jerusalem
IN	2635265063781	Talipparamba	Asia/Kolkata
IN	5065546193796	Betamcherla	Asia/Kolkata
US	9783715636214	Kahului	Pacific/Honolulu
AU	9662640989421	Griffith	Australia/Sydney
CN	1581860301265	Meizhou	Asia/Shanghai
RU	7940529703880	Bogoroditsk	Europe/Moscow
IT	7275187373954	Villabate	Europe/Rome
BY	8608401644858	Dobrush	Europe/Minsk
US	5116868955491	Bothell	America/Los_Angeles
DZ	2477081167430	Thenia	Africa/Algiers
NL	2141261250808	Tongelre	Europe/Amsterdam
FR	9940540236983	Mitry-Mory	Europe/Paris
US	6971948888354	Columbia Heights	America/Chicago
ES	2675921390622	San Fernando de Henares	Europe/Madrid
DO	3403648358934	Santa Cruz de Barahona	America/Santo_Domingo
PT	6477446444110	Paredes	Europe/Lisbon
CA	8947966001868	Charlottetown	America/Halifax
JP	9166903409997	Nayoro	Asia/Tokyo
UA	3705235304479	Nova Kakhovka	Europe/Kiev
TH	7567921575220	Kantharalak	Asia/Bangkok
DE	0650722095022	Bensheim	Europe/Berlin
US	2365249476480	Kent	America/Los_Angeles
US	9447714520102	Fitchburg	America/New_York
CN	6965256163272	Guli	Asia/Shanghai
AR	2310463874475	Pontevedra	America/Argentina/Buenos_Aires
AM	3396264508879	Hrazdan	Asia/Yerevan
MT	4080045202818	Valletta	Europe/Malta
US	1461853322616	Lino Lakes	America/Chicago
DE	2128128829186	Gifhorn	Europe/Berlin
RU	9611841364872	Lesosibirsk	Asia/Krasnoyarsk
US	0398762544369	Aurora	America/Denver
ZA	8159087319252	Standerton	Africa/Johannesburg
IN	8439009804661	Dalsingh Sarai	Asia/Kolkata
KZ	6917122564133	Zaysan	Asia/Almaty
CN	2665591415084	Zhuangyuan	Asia/Shanghai
GN	2012665926883	Camayenne	Africa/Conakry
HN	2853348457641	Olanchito	America/Tegucigalpa
US	9417372367890	Camarillo	America/Los_Angeles
RW	3519085662647	Rwamagana	Africa/Kigali
ES	9877586529635	Cardedeu	Europe/Madrid
PH	7319275875606	Tupi	Asia/Manila
US	0265973650311	Bridgeport	America/New_York
US	8997901368051	Clermont	America/New_York
MQ	9198970514021	Le Robert	America/Martinique
IN	3312778471782	Jashpurnagar	Asia/Kolkata
IN	7586854199563	Osmanabad	Asia/Kolkata
RU	6480874082823	Likhobory	Europe/Moscow
IN	8037707326661	Aistala	Asia/Kolkata
ES	6585176436074	Talavera de la Reina	Europe/Madrid
DE	0530549813026	Pfullingen	Europe/Berlin
IT	5078679188850	Falconara Marittima	Europe/Rome
KZ	0805220124013	Zaysan	Asia/Almaty
IT	2962277913651	Campobasso	Europe/Rome
BR	2891414260580	Iturama	America/Sao_Paulo
IN	6733723564231	Sheoganj	Asia/Kolkata
RU	1231782941833	Privolzhskiy	Europe/Saratov
IT	1920971171266	Campobasso	Europe/Rome
RU	1502160260397	Novosilikatnyy	Asia/Barnaul
IN	4343415324115	Kenda	Asia/Kolkata
GB	1147186980647	Chapletown	Europe/London
IN	1824196207871	Meerut	Asia/Kolkata
IT	9983978290264	Gorgonzola	Europe/Rome
PT	7971689563120	Ponta Delgada	Atlantic/Azores
CD	8673510667746	Kasangulu	Africa/Kinshasa
GH	7381179665447	Bibiani	Africa/Accra
US	2239680308269	Visitacion Valley	America/Los_Angeles
IT	7325568337553	Roseto degli Abruzzi	Europe/Rome
CU	1270043035256	Varadero	America/Havana
US	9032359922208	Vestavia Hills	America/Chicago
DE	5792515734086	Walsrode	Europe/Berlin
ET	4869598354164	Arba Minch	Africa/Addis_Ababa
FR	1333521427322	Les Olives	Europe/Paris
NL	4073854446849	Barneveld	Europe/Amsterdam
ID	1666560310196	Pameungpeuk	Asia/Jakarta
JP	4045589081183	Toba	Asia/Tokyo
TW	0774217621579	Magong	Asia/Taipei
MY	3327248102691	Teluk Intan	Asia/Kuala_Lumpur
IT	3879788447904	Afragola	Europe/Rome
US	8766213802566	Mechanicsville	America/New_York
US	4510479597018	Middletown	America/New_York
RU	2065952916586	Lesozavodsk	Asia/Vladivostok
ID	1830609998939	Kediri	Asia/Jakarta
EE	0088919534663	Narva	Europe/Tallinn
NL	8244523195115	Hoogezand	Europe/Amsterdam
US	4153085040266	Jersey City	America/New_York
US	4587813893303	East Haven	America/New_York
US	6695866675437	Middle River	America/New_York
RO	0174702622515	Sector 6	Europe/Bucharest
BR	0181248801014	Marau	America/Sao_Paulo
FI	8565720111570	Espoo	Europe/Helsinki
VE	1959476823028	Barinas	America/Caracas
US	2457014742330	Keene	America/New_York
AO	2105998276548	Luena	Africa/Luanda
FR	8362362511344	Lons-le-Saunier	Europe/Paris
IT	0881784562508	Chiavari	Europe/Rome
ID	2262840384995	Sukabumi	Asia/Jakarta
CA	4527501144188	Vernon	America/Vancouver
IE	6176522157936	An Muileann gCearr	Europe/Dublin
ML	2374267271472	Kati	Africa/Bamako
DE	4376250337064	Neuburg an der Donau	Europe/Berlin
PH	2546475876606	Calauan	Asia/Manila
IN	0072470025159	Jais	Asia/Kolkata
GB	9505809191788	Brierley Hill	Europe/London
CO	6140542964294	Buenaventura	America/Bogota
AT	6502354845138	Sankt Peter	Europe/Vienna
CD	2249838099376	Kasangulu	Africa/Kinshasa
JP	2753426263754	Yao	Asia/Tokyo
CN	6276924192020	Huangshi	Asia/Shanghai
US	7433301726554	Greenpoint	America/New_York
US	6774800290308	Martinsburg	America/New_York
CA	5395022190002	Dorval	America/Toronto
MD	6754847550924	Soroca	Europe/Chisinau
FR	8997951234412	Saint-Genis-Laval	Europe/Paris
IT	1451379618287	Afragola	Europe/Rome
ES	7317298890828	Ferrol	Europe/Madrid
IR	6731647669315	Darreh Shahr	Asia/Tehran
BY	8041038198767	Vitebsk	Europe/Minsk
TJ	5660568073240	Vahdat	Asia/Dushanbe
RU	7751220021797	Solntsevo	Europe/Moscow
GB	1339842882482	Kingston upon Hull	Europe/London
CN	7509331149011	Beidao	Asia/Shanghai
GB	4006274587212	Walton-on-the-Naze	Europe/London
DE	2129550768098	Ehingen	Europe/Berlin
GB	7004706217505	Thetford	Europe/London
VN	7251637557525	Sa Dec	Asia/Ho_Chi_Minh
PK	0542649437668	Qadirpur Ran	Asia/Karachi
PK	4483995687672	Tharu Shah	Asia/Karachi
FR	8527891482170	Quimper	Europe/Paris
CN	9698238574663	Zhoushan	Asia/Shanghai
GB	1263738021689	Blackpool	Europe/London
US	7223674517749	Lower West Side	America/Chicago
PK	5079581255173	Daud Khel	Asia/Karachi
US	5664910949863	Hutto	America/Chicago
DE	0383160752959	Gauting	Europe/Berlin
GE	0727692372818	Kobuleti	Asia/Tbilisi
US	3644051603772	Fitchburg	America/New_York
KG	0715247930163	Jalal-Abad	Asia/Bishkek
PL	7302734711928	Strzelce Opolskie	Europe/Warsaw
GB	1320927946953	Barnet	Europe/London
US	0491546995903	Kahului	Pacific/Honolulu
US	6620633934103	Thomasville	America/New_York
KZ	0504392911994	Otegen Batyra	Asia/Almaty
TT	6805178173372	Port of Spain	America/Port_of_Spain
ES	4351681613116	Amposta	Europe/Madrid
NE	1777646795506	Mirriah	Africa/Niamey
NL	9343296126476	Oldenzaal	Europe/Amsterdam
KR	5995734383800	T’aebaek	Asia/Seoul
MY	4249929309450	Teluk Intan	Asia/Kuala_Lumpur
CM	6126592265536	Mbalmayo	Africa/Douala
DE	7426994972735	Hermsdorf	Europe/Berlin
IN	2817165906751	Chamba	Asia/Kolkata
CN	3896800582665	Changshu City	Asia/Shanghai
DE	7735146577682	Karben	Europe/Berlin
US	6652380307817	Clermont	America/New_York
US	7947673438460	Estelle	America/Chicago
FR	1703316577226	Le Chesnay	Europe/Paris
DE	5822699918955	Neuburg an der Donau	Europe/Berlin
VE	7007717613540	La Victoria	America/Caracas
DO	2520232970035	Santa Cruz de Barahona	America/Santo_Domingo
ZA	5364463068034	Vryheid	Africa/Johannesburg
ZA	9469370732354	Vryheid	Africa/Johannesburg
PL	8785868316167	Brzeg	Europe/Warsaw
TH	8085631880551	Damnoen Saduak	Asia/Bangkok
US	4709981288686	Malden	America/New_York
NG	9659190588532	Kafanchan	Africa/Lagos
UZ	0493648059484	Jizzax	Asia/Samarkand
US	1128268750709	Riverbank	America/Los_Angeles
BY	2160760351403	Dobrush	Europe/Minsk
TJ	5466868653416	Vahdat	Asia/Dushanbe
IN	2881323211247	Lal Bahadur Nagar	Asia/Kolkata
DE	1188086566869	Hofheim am Taunus	Europe/Berlin
US	6926129741249	Brentwood Estates	America/Chicago
DE	0039364797066	Bad Honnef	Europe/Berlin
VE	7806160689535	La Victoria	America/Caracas
RU	8395088552612	Naro-Fominsk	Europe/Moscow
US	4960872943903	Sterling	America/New_York
US	1301718628036	North Lauderdale	America/New_York
US	1488837722163	Indio	America/Los_Angeles
PH	1444458086787	Baliuag	Asia/Manila
US	0141130210768	Fresno	America/Chicago
BR	5249712515456	Artur Nogueira	America/Sao_Paulo
US	0268901513917	Claremont	America/Los_Angeles
IN	9782718885469	Sathyamangalam	Asia/Kolkata
IN	2931378170003	Malaut	Asia/Kolkata
BR	1195329027711	Viradouro	America/Sao_Paulo
RU	1752738938221	Dyat’kovo	Europe/Moscow
ES	9997298824399	Puertollano	Europe/Madrid
AU	4333497601235	Willetton	Australia/Perth
DE	0958308088773	Reutlingen	Europe/Berlin
MX	9808075679555	Teziutlan	America/Mexico_City
GB	8767730827124	Exeter	Europe/London
CU	0215343723701	Media Luna	America/Havana
GB	2302234162928	Exeter	Europe/London
GB	6792157828067	Gainsborough	Europe/London
XK	4546349772926	Glogovac	Europe/Belgrade
CU	2122887683782	Varadero	America/Havana
IN	1070572831585	Teghra	Asia/Kolkata
US	7643558997328	Thomasville	America/New_York
RU	3655443982566	Oktyabr’skiy	Asia/Yekaterinburg
KR	6377005608178	T’aebaek	Asia/Seoul
BR	3705722900955	Soledade	America/Sao_Paulo
NG	4735400437625	Lagos	Africa/Lagos
GB	8780397545248	Selby	Europe/London
GB	9986579513770	Arbroath	Europe/London
TZ	3941387812251	Nyangao	Africa/Dar_es_Salaam
IN	5743750730555	Deoli	Asia/Kolkata
EG	2170708708787	Juhaynah	Africa/Cairo
DE	7103402412020	Bad Honnef	Europe/Berlin
GB	5610031184188	Blackpool	Europe/London
JP	3794553122148	Karatsu	Asia/Tokyo
GB	6395930249136	Viewpark	Europe/London
IN	2374392119861	Kangayam	Asia/Kolkata
CA	2986627572909	Beaconsfield	America/Toronto
US	2922299065301	Stockbridge	America/New_York
ES	9099386151766	Reus	Europe/Madrid
KE	7295164107891	Busia	Africa/Nairobi
US	0907979050176	Pahrump	America/Los_Angeles
GB	4035038346345	Viewpark	Europe/London
RU	6071059277518	Naro-Fominsk	Europe/Moscow
PT	2328151001171	Paredes	Europe/Lisbon
IN	3710796804580	Periyakulam	Asia/Kolkata
IN	4854826057030	Chamba	Asia/Kolkata
GM	1248725968031	Farafenni	Africa/Banjul
TZ	9842629686989	Same	Africa/Dar_es_Salaam
AM	7883058281781	Hrazdan	Asia/Yerevan
DE	1674987649577	Wesseling	Europe/Berlin
US	9936460998261	Independence	America/Chicago
ES	9379747775474	San Fernando de Henares	Europe/Madrid
JP	7192120521305	Suzaka	Asia/Tokyo
IN	4737703968288	Puducherry	Asia/Kolkata
IT	1002415664302	Sassari	Europe/Rome
IN	0573172094820	Sheoganj	Asia/Kolkata
EC	0574219813800	Cuenca	America/Guayaquil
ES	5324061031168	Caravaca	Europe/Madrid
GB	7874771564190	Gainsborough	Europe/London
IN	3528634931936	Puducherry	Asia/Kolkata
DK	4717522404600	Frederiksberg	Europe/Copenhagen
ID	2487736524709	Diwek	Asia/Jakarta
UA	8142800380066	Nova Kakhovka	Europe/Kiev
RU	9428255940062	Yeysk	Europe/Moscow
BG	2881718899326	Aytos	Europe/Sofia
ID	5731382859812	Jambi City	Asia/Jakarta
US	4882619257077	Brentwood Estates	America/Chicago
IT	6149516361909	Tortona	Europe/Rome
BR	3074163327172	Viradouro	America/Sao_Paulo
US	2541351168394	Acworth	America/New_York
GB	7140748581973	Walton-on-the-Naze	Europe/London
TR	4416402499483	Aksaray	Europe/Istanbul
US	1982366110274	Saratoga Springs	America/Denver
BR	5279040349928	Viradouro	America/Sao_Paulo
DE	3348837572183	Dahlem	Europe/Berlin
ES	2713983831902	Novelda	Europe/Madrid
