session_id	session_duration	pct_mouse_click	pct_mouse_move	pct_scrandom	browser_name	pct_scroll_move	wild_mouse_duration	total_load_time	screen_width	scroll_move_total_rel_distance	pct_rage_click	pct_click_product_info	pct_scroll_move_duration	product_ean	ack	pct_wild_mouse	pct_doubleclick	pct_input	mouse_move_total_rel_distance	page_activity_duration	user_id	pct_click	session_start	screen_height
29352	46.20666	8.66407	8.38688	39.96280	chrome	50.61083	10.41166	3.60459	1920	11.29521	50.61589	49.86132	10.33656	6114478342082	0.00000	54.43209	12.49105	4.47198	13.77493	13.45456	1210	7.31828	2023-07-24 21:57:03	600
769698	205.16791	12.02141	12.17055	60.01076	edge	42.49860	10.15309	7.06828	1366	10.19343	54.35167	45.66595	7.80532	6278631558229	0.00000	51.23958	7.87225	3.51481	8.68947	7.07715	1050	8.37471	2019-09-14 02:15:38	1080
284853	234.67891	12.16289	9.58028	54.80463	chrome	48.92000	8.80681	6.13853	1920	8.09523	33.03994	55.70594	9.10008	8948836632861	1.00000	39.34868	8.47885	0.93258	7.47787	3.55613	1026	10.49107	2022-02-18 18:49:38	1080
1427567	144.28902	12.06736	7.21877	45.49934	edge	49.84135	8.68074	1.86351	1920	10.87457	70.32520	56.85102	13.20124	2908363032189	0.00000	35.79768	13.23949	0.76370	10.49697	9.16388	956	11.41349	2023-04-30 17:18:55	600
465974	108.38966	11.99156	10.16503	51.33054	chrome	55.75590	9.39695	1.86608	1920	10.97939	50.83243	60.92966	12.28598	0809448551095	0.00000	44.74054	11.58722	1.67888	8.31823	9.48939	933	10.83115	2022-01-05 10:29:17	lower
223045	47.96486	11.32534	11.29606	48.47653	firefox	48.95236	11.39144	2.30071	1280	9.62137	44.87337	55.05462	10.94406	0321139689776	0.00000	34.33460	11.62104	11.99677	6.43593	8.44795	582	12.05892	2019-10-10 02:50:12	768
645580	180.53071	10.06536	10.20590	65.55791	safari	44.10439	8.85401	4.47961	1920	11.10152	66.58615	51.60993	11.03747	2186695734234	0.00000	28.17704	12.05443	0.89664	8.22181	9.35747	209	9.27930	2019-03-29 07:56:46	800
689178	137.24503	14.04876	7.73191	63.39558	firefox	36.73780	11.38326	2.78298	1280	11.20923	62.87146	53.72192	14.13862	6478703650749	0.00000	48.55467	11.16858	11.81579	10.06911	8.52100	753	12.22936	2021-08-16 09:51:36	lower
964143	210.52018	12.00617	8.79124	43.31616	other	37.72330	11.03366	3.84925	1024	11.25377	57.09205	44.24268	12.01490	4031886069993	0.00000	47.11118	11.04595	8.38689	8.49887	7.50668	1381	11.72999	2023-02-12 21:12:41	1024
1056380	160.57516	10.54082	8.26685	23.15099	edge	67.27858	10.02475	3.34941	1366	11.85664	65.90210	58.21292	11.32140	6465041102214	1.00000	46.34474	11.59784	2.94811	8.36766	6.70640	782	10.26079	2023-05-11 17:32:43	768
359238	82.15672	11.11654	11.14682	39.31673	other	47.58005	10.23801	2.50201	1920	10.16866	28.05985	60.33699	8.64058	2809517269966	0.00000	44.79113	8.56961	3.80362	8.90385	7.52153	1093	8.66019	2020-04-27 03:41:34	768
1049190	55.94230	9.44686	8.21307	46.09590	firefox	43.22567	9.43856	1.61724	800	9.43732	37.43978	68.51216	10.79835	7356660609156	1.00000	70.86751	12.66935	1.64646	9.30969	9.20593	2070	13.06771	2023-05-23 07:43:52	600
335519	155.18465	13.19840	13.30670	61.27530	other	56.05796	10.74558	1.21004	800	8.40284	56.62649	64.50593	7.92459	1119528803525	0.00000	81.98013	11.27645	6.35725	11.47220	12.35360	1082	8.38117	2021-01-24 20:03:37	768
526880	219.32718	7.31523	4.47920	41.86891	chrome	45.16046	10.33847	2.50590	1024	10.66324	59.63769	75.49740	10.57904	0138776004615	1.00000	37.77500	12.84323	4.21736	11.03394	6.34624	87	10.26649	2022-04-05 09:05:47	600
1000515	136.23087	9.49492	10.43010	54.20178	edge	34.69379	8.66782	1.66340	higher	9.22833	61.93160	44.45003	7.37725	6283384552936	0.00000	66.80653	11.56564	0.79715	11.69858	10.44594	396	7.77899	2022-03-15 04:55:25	768
1229124	128.76462	11.56705	15.43501	34.60346	edge	76.25669	9.08516	2.12109	1920	9.32491	68.49738	49.06092	6.97299	9516430729349	1.00000	67.86022	9.14487	1.15280	8.42116	11.02327	1170	6.62711	2018-12-21 02:15:38	800
1342749	73.85585	7.68417	7.65155	47.06088	chrome	71.48824	7.49119	4.14609	800	7.40308	48.48510	37.72495	9.87629	6544515151689	1.00000	54.36566	11.80622	0.10082	14.17027	12.73753	841	6.54545	2022-11-23 11:04:02	1080
984875	260.99137	11.94867	10.84928	50.39559	chrome	53.97571	10.84431	4.37920	1366	11.74068	71.85889	61.42187	11.64464	3258663423224	1.00000	22.93130	10.95400	6.85642	7.93398	9.30614	1654	10.82382	2019-09-20 22:29:29	1080
58524	121.25905	11.76830	9.84851	45.08697	edge	45.08732	10.04700	10.17579	1366	11.32180	30.78843	65.39306	10.06306	2880942117572	0.00000	56.31542	13.10847	3.17514	8.29427	8.58764	813	14.75020	2022-03-10 09:53:53	600
979748	272.92045	10.41536	4.99314	50.53872	edge	63.02368	9.77343	1.70697	1920	10.48600	56.96995	54.54947	14.02450	2975340536909	1.00000	45.74926	12.02568	2.34224	10.84538	7.98782	199	11.57194	2019-09-03 18:16:43	1024
743660	79.61883	10.80003	10.39701	47.20658	safari	45.16240	9.39617	1.93908	800	10.29538	49.01737	63.04697	12.20253	9184687865594	0.00000	26.34525	10.16490	1.63739	7.18901	8.12068	1055	8.22389	2022-12-05 02:19:16	600
184588	134.04781	9.36396	10.51816	42.46848	edge	69.87044	10.01246	3.33987	1280	9.41153	45.19917	59.45596	7.45234	7636163015327	0.00000	51.55247	11.84520	2.96280	13.97545	13.65640	1326	7.80405	2020-04-04 20:31:05	600
791801	105.14664	9.32221	13.86813	45.52042	safari	41.62147	10.10081	10.10960	1920	11.37349	14.01138	50.16457	7.82611	7754760278850	1.00000	53.63689	7.23634	3.29622	9.45689	12.51971	1024	8.63409	2023-04-02 08:48:48	lower
